dataset,t,method,mean_reward,compliance,viol_rate,mean_list_risk,p95_risk,B,tau,cand_n,lam_penalty,warmup,oracle_mean_reward,oracle_gap,V_left_end,elig_seen,infeasible,expected_reward,tuned_eta0,dual_lambda,mean_du,online_violation_rate
ML-20M,39,quota,0.9966153502464294,0.901,0.099,4.623401165008545,5.686515331268311,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966203570365906,5.0067901611328125e-06,0.0,235.0,,0.9966153502464294,,,,
ML-20M,40,quota,0.9966498613357544,0.9,0.1,4.621257781982422,5.677942276000977,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966211915016174,-2.866983413696289e-05,0.0,244.0,,0.9966498613357544,,,,
ML-20M,41,quota,0.996611714363098,0.901,0.099,4.620346546173096,5.686763763427734,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.996610462665558,-1.2516975402832031e-06,0.0,239.0,,0.996611714363098,,,,
ML-20M,42,quota,0.9966277480125428,0.901,0.099,4.618457794189453,5.67479133605957,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966304302215576,2.682209014892578e-06,0.0,243.0,,0.9966277480125428,,,,
ML-20M,43,quota,0.9966445565223694,0.901,0.099,4.61594295501709,5.673407077789307,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966331720352172,-1.138448715209961e-05,0.0,232.0,,0.9966445565223694,,,,
ML-20M,44,quota,0.996624767780304,0.901,0.099,4.613486289978027,5.67933988571167,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965925216674804,-3.224611282348633e-05,0.0,240.0,,0.996624767780304,,,,
ML-20M,45,quota,0.9964486956596376,0.901,0.099,4.610435485839844,5.679465293884277,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9965784549713136,0.000129759311676,0.0,243.0,,0.9964486956596376,,,,
ML-20M,46,quota,0.9966387748718262,0.901,0.099,4.611292839050293,5.689116477966309,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966477155685424,8.940696716308594e-06,0.0,239.0,,0.9966387748718262,,,,
ML-20M,47,quota,0.9965245127677916,0.901,0.099,4.609375,5.671262264251709,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966345429420472,0.0001100301742553,0.0,241.0,,0.9965245127677916,,,,
ML-20M,48,quota,0.9965615272521972,0.901,0.099,4.606682300567627,5.679274082183838,5.470155239105225,0.9,1000.0,0.7023632526397705,20.0,0.9966385364532472,7.700920104980469e-05,0.0,239.0,,0.9965615272521972,,,,
