dataset,t,method,tau,B,cand_n,n_chunk,compliance,viol_rate,mean_reward,reward_gap_to_oracle,hit,ndcg,mean_list_risk,p95_risk,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean
ML-1M,30,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9338842975206612,0.06611570247933884,10.582980617018771,0.004090986961175602,0.09917355371900827,0.04480227506359933,1.5365931889242377,2.7669036388397217,0.06611570247933884,0.05057171198947371,1.4503350289892558
ML-1M,30,OC-Quota,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.573583654135712,0.013487949844234848,0.09917355371900827,0.04480227506359933,1.5261719010092996,2.54072904586792,0.12396694214876033,0.030288280534350193,1.4399137410743177
ML-1M,31,Penalty,0.9,2.347123050689697,3533,121,0.9256198347107438,0.07438016528925617,10.603738930599748,0.033776224152116896,0.0743801652892562,0.031452326010061274,1.3807506354387142,2.6246447563171387,0.0743801652892562,0.04345645904541016,1.3121170155272996
ML-1M,31,Primal-Dual,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.636805723521334,0.0007094312305309103,0.0743801652892562,0.03441233891915174,1.5886957349856037,2.959360122680664,0.09090909090909091,0.08690876093777744,1.5127033945942714
ML-1M,31,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.636805723521334,0.0007094312305309103,0.0743801652892562,0.03441233891915174,1.5886957349856037,2.959360122680664,0.09090909090909091,0.08690876093777744,1.5127033945942714
ML-1M,31,OC-Quota,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.606231634281883,0.03128352046998195,0.0743801652892562,0.03441233891915174,1.5177989262194673,2.5329573154449463,0.09090909090909091,0.017410019015477715,1.4418065858281348
ML-1M,32,Penalty,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.564266204833984,0.036502518929726335,0.08264462809917356,0.04761026905081457,1.348028592334306,2.6484875679016113,0.0743801652892562,0.05184160894598843,1.2435422199816744
ML-1M,32,Primal-Dual,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.60076872376371,0.0,0.09917355371900827,0.04770107311565458,1.5678439982666457,3.0626752376556396,0.09090909090909091,0.10124044457742992,1.4319705692204563
ML-1M,32,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9008264462809917,0.09917355371900827,10.60076872376371,0.0,0.09917355371900827,0.04770107311565458,1.5678439982666457,3.0626752376556396,0.09090909090909091,0.10124044457742992,1.4319705692204563
ML-1M,32,OC-Quota,0.9,2.347123050689697,3533,121,0.9173553719008265,0.0826446280991735,10.551550766653266,0.04921795711044474,0.09917355371900827,0.048871418006195946,1.4757800323904053,2.416917324066162,0.0743801652892562,0.015327084360043871,1.3408097171586406
ML-1M,33,Penalty,0.9,2.347123050689697,3533,121,0.8760330578512396,0.12396694214876036,10.62319940377858,0.033535543552115854,0.05785123966942149,0.033579219108915564,1.4123230638090245,2.54329252243042,0.12396694214876033,0.039195269592537385,1.35114840608983
ML-1M,33,Primal-Dual,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.658014896487401,-0.0012799491567054844,0.05785123966942149,0.03132681013927124,1.6352214251668,3.1630961894989014,0.10743801652892562,0.098503416628877,1.5783592706376857
ML-1M,33,QuotaGateV6,0.9,2.347123050689697,3533,121,0.8925619834710744,0.1074380165289256,10.658014896487401,-0.0012799491567054844,0.05785123966942149,0.03132681013927124,1.6352214251668,3.1630961894989014,0.10743801652892562,0.098503416628877,1.5783592706376857
ML-1M,33,OC-Quota,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.624486994152226,0.0322479531784694,0.05785123966942149,0.03132681013927124,1.5479644753716209,2.51401686668396,0.09090909090909091,0.01926191858023652,1.4911023208425065
ML-1M,34,Penalty,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.28794495133329,0.04092300036721852,0.0743801652892562,0.036008327577654986,1.3269302352400851,2.5992836952209473,0.09090909090909091,0.031232347961299683,1.2628574179223746
ML-1M,34,Primal-Dual,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.328202665344742,0.0006652863557672362,0.06611570247933884,0.0339852175007753,1.5771634307774631,3.26430606842041,0.09090909090909091,0.09453723332113471,1.5109938927425826
ML-1M,34,QuotaGateV6,0.9,2.347123050689697,3533,121,0.9090909090909091,0.09090909090909094,10.328202665344742,0.0006652863557672362,0.06611570247933884,0.0339852175007753,1.5771634307774631,3.26430606842041,0.09090909090909091,0.09453723332113471,1.5109938927425826
ML-1M,34,OC-Quota,0.9,2.347123050689697,3533,121,0.9586776859504132,0.04132231404958675,10.294010237228772,0.034857714471737467,0.06611570247933884,0.0339852175007753,1.47955318275562,2.3282806873321533,0.04132231404958678,0.009060189743672524,1.4133836447207395
