dataset,cand_n,n_items,B,B_quantile,target,method,Recall,NDCG,Recall_given_hit,NDCG_given_hit,Compliance,MeanRisk,P95Risk,ProxyUtility,RetrievalHit_at_N,ProxyUtilityLoss_vs_mu,ProxyUtilityGap_to_oracle,lam,tune,mandatory_infeasible,discretionary_used,V_left_end,warmup,val_compliance,eta0,final_lambda,mean_du_positive,count_U_feasible,count_C_enforced,count_U_violate_by_choice,count_U_infeasible_region
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.0280910165410373,0.2064186725018235,0.1024471792160371,0.9,0.7524600603461266,1.8290969014167784,5.974734331798554,0.2742,0.074581716704368,0.0652856692552568,0.720977783203125,bisect,,,,,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.2071480671043034,0.1026225518209055,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.2742,0.0092960474491112,0.0,,,1.0,498.0,,,,,,,,,,
Amazon-VideoGames,200,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.0280760107339351,0.2064186725018235,0.102392453442506,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.2742,0.013744550991058,0.0044485035419468,,,,,2.0,0.0,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.0280674260556434,0.1438739196746314,0.0713457703498815,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.3934,0.0,-0.0092960474491112,,,,,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,ConstrainedGreedy,0.0568,0.0281322068255311,0.1443823080833757,0.0715104393124838,0.8632,0.9383396291330456,2.3949477672576904,6.006908744597435,0.3934,0.0424073039054864,0.0331112564563751,,,,,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,HardBisection (feasibility ceiling),0.057,0.028367180844936,0.1448906964921199,0.0721077296515913,1.0,0.7915975495412946,1.4269971966743469,5.928653861355782,0.3934,0.1206621871471398,0.1113661396980285,,,,,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,"PenaltyGrid (>=τ), λ*=0.750",0.0568,0.0280982404900128,0.1443823080833757,0.0714240988561586,0.9046,0.7459290120512247,1.8021298050880443,5.969940941095352,0.3934,0.0793751074075697,0.0700790599584584,0.75,grid,,,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,"PenaltyBisect (~τ), λ=0.721",0.0566,0.0280910165410373,0.1438739196746314,0.0714057359965363,0.9,0.7524600603461266,1.8290969014167784,5.974734331798554,0.3934,0.074581716704368,0.0652856692552568,0.720977783203125,bisect,,,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,OracleGate (proxy-utility upper bound @ 0.9),0.0568,0.0281391037092923,0.1443823080833757,0.0715279707912869,0.9002,0.9468651927903294,2.616884291172028,6.0400200010538105,0.3934,0.0092960474491112,0.0,,,0.0,499.0,,,,,,,,,,
Amazon-VideoGames,500,17286,1.4568411111831665,0.8,0.9,QuotaGateV6 (online tuned @ 0.9),0.0566,0.0280760107339351,0.1438739196746314,0.0713675921045631,0.9006,0.9400579539254308,2.5909743547439583,6.035571497511864,0.3934,0.013744550991058,0.0044485035419468,,,,,2.0,0.0,,,,,,,,
Amazon-VideoGames,1000,17286,1.4568411111831665,0.8,0.9,Baseline(mu-only),0.0566,0.0280674260556434,0.1135178499799438,0.0562924710301712,0.8,0.9828616354778408,2.629247975349428,6.049316048502922,0.4986,0.0,-0.0092960474491112,,,,,,,,,,,,,,
