dataset,method,tau,k,width_scale,seed,compliance_mean,hit_mean,recall_mean,ndcg_mean,bad_exposure_rate,weighted_bad_exposure_mean,risk_weighted_miss_mean,proxy_utility_mean,reward_gap_to_oracle_mean
Amazon-VideoGames,Penalty,0.8,10,1.0,2026,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308909,6.049316048502922,-0.0026660428524012403
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,2026,0.8234,0.0574,0.0574,0.02841006207764341,0.1738,0.14295597097873688,0.9003614119559527,6.040100962090492,0.006549043560028167
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,2026,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756082,6.048287295413017,-0.00163728976249633
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,2027,0.8256,0.0568,0.0568,0.0281288127122165,0.1718,0.16435694921016694,0.939907258310914,6.046410900425911,0.0
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,2027,0.8256,0.0568,0.0568,0.0281288127122165,0.1718,0.16435694921016694,0.939907258310914,6.046410900425911,0.0
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,2027,0.8252,0.0568,0.0568,0.0281288127122165,0.172,0.15980956029891968,0.9354651552468538,6.045630536818504,0.000780363607406187
Amazon-VideoGames,Penalty,0.8,10,1.0,2027,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308909,6.049316048502922,-0.0029051480770112548
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,2027,0.8234,0.0574,0.0574,0.02841006207764341,0.1738,0.14295597097873688,0.9003614119559527,6.040100962090492,0.006309938335418153
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,2027,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756082,6.048287295413017,-0.0018763949871063446
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,2028,0.8256,0.0568,0.0568,0.0281288127122165,0.1718,0.16454761316776276,0.9401435871034861,6.046987868571281,0.0
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,2028,0.8254,0.0568,0.0568,0.0281288127122165,0.172,0.1645613231897354,0.9401681133657693,6.046988830113411,-9.61542129473969e-07
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,2028,0.825,0.0568,0.0568,0.0281288127122165,0.1722,0.16001393427848815,0.9357260103017092,6.0462084665060045,0.0007794020652767131
Amazon-VideoGames,Penalty,0.8,10,1.0,2028,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308909,6.049316048502922,-0.002328179931640584
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,2028,0.8234,0.0574,0.0574,0.02841006207764341,0.1738,0.14295597097873688,0.9003614119559527,6.040100962090492,0.006886906480788824
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,2028,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756082,6.048287295413017,-0.0012994268417356736
Amazon-VideoGames,QuotaGate-U,0.8,10,1.0,2029,0.8256,0.0568,0.0568,0.0281288127122165,0.1718,0.16426142230033874,0.9397293641477823,6.0463366060972215,0.0
Amazon-VideoGames,QuotaGate-RDU,0.8,10,1.0,2029,0.8254,0.0568,0.0568,0.0281288127122165,0.172,0.1642751323223114,0.9397538904100656,6.046337567639351,-9.61542129473969e-07
Amazon-VideoGames,WBEThreshold,0.8,10,1.0,2029,0.825,0.0568,0.0568,0.0281288127122165,0.1722,0.15972774341106416,0.9353117873460054,6.045557204031944,0.0007794020652776013
Amazon-VideoGames,Penalty,0.8,10,1.0,2029,0.8,0.0566,0.0566,0.028067426055643403,0.1962,0.17045417346954345,0.9484369886308909,6.049316048502922,-0.002979442405700361
Amazon-VideoGames,AdaptivePenalty,0.8,10,1.0,2029,0.8234,0.0574,0.0574,0.02841006207764341,0.1738,0.14295597097873688,0.9003614119559527,6.040100962090492,0.006235644006729046
Amazon-VideoGames,Primal-Dual,0.8,10,1.0,2029,0.8246,0.0568,0.0568,0.0281288127122165,0.1728,0.16610774991512298,0.9417052940756082,6.048287295413017,-0.0019506893157954508
Amazon-VideoGames,QuotaGate-U,0.9,10,1.0,2025,0.9006,0.0566,0.0566,0.02807601073393515,0.0984,0.13646618559360504,0.9055665863782167,6.03454867246151,0.0
Amazon-VideoGames,QuotaGate-RDU,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.0276094144821167,0.7955104285866023,5.946037297129631,0.08851137533187892
Amazon-VideoGames,WBEThreshold,0.9,10,1.0,2025,0.9002,0.0564,0.0564,0.02803887088346388,0.0968,0.026944160175323487,0.7955340218573809,5.945933010458946,0.08861566200256377
Amazon-VideoGames,Penalty,0.9,10,1.0,2025,0.9232,0.0568,0.0568,0.02791957253751715,0.0758,0.03406068420410156,0.6672547412097454,5.92557372572422,0.10897494673728936
